cores,total,mut,gc,productivity,speedup,ideal,bench
1,1.790378,1.748237,0.031095,0.976463,1.0001066813823674,1.0001066813823674,TransClos
2,1.040399,1.014797,0.023498,0.975393,1.7210406776630889,0.8605203388315444,TransClos
3,0.500309,0.477207,0.016622,0.953828,3.578926223593819,1.1929754078646064,TransClos
4,0.400223,0.379235,0.01727,0.947562,4.473928284981123,1.1184820712452808,TransClos
5,0.360393,0.335366,0.015785,0.930564,4.968378964075328,0.9936757928150657,TransClos
6,0.330171,0.312878,0.014524,0.947631,5.423156485578685,0.9038594142631142,TransClos
7,0.310252,0.294794,0.011844,0.950186,5.771337493392469,0.8244767847703527,TransClos
8,0.310249,0.291655,0.012033,0.940079,5.771393300220146,0.7214241625275183,TransClos
8,0.310249,0.291016,0.012929,0.938019,5.771393300220146,0.7214241625275183,TransClos
