cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,1.820285,1.333988,0.481573,0.732849,1.640497,0.9012308512128596,0.9012308512128596,Mss
2,0.900204,0.629646,0.268903,0.699453,1.640497,1.822361375865915,0.9111806879329575,Mss
3,0.440261,0.235178,0.200733,0.534187,1.640497,3.7261919634035268,1.2420639878011757,Mss
4,0.320334,0.163774,0.152121,0.511273,1.640497,5.121207864291645,1.2803019660729114,Mss
5,0.300253,0.154289,0.138889,0.513877,1.640497,5.463715599844132,1.0927431199688264,Mss
6,0.310249,0.166632,0.132944,0.537113,1.640497,5.287678606538619,0.8812797677564365,Mss
7,0.30046,0.168437,0.122978,0.560633,1.640497,5.45995140784131,0.7799930582630443,Mss
8,0.270227,0.147906,0.118821,0.547358,1.640497,6.0708108368149745,0.7588513546018718,Mss
