cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,1.710474,1.697683,0.004547,0.992525,1.730482,1.0116973423741022,1.0116973423741022,SumEuler
2,1.040366,1.023588,0.010109,0.983878,1.730482,1.6633396323985985,0.8316698161992992,SumEuler
3,0.520327,0.509093,0.008846,0.978416,1.730482,3.3257586094898017,1.1085862031632672,SumEuler
4,0.350251,0.323701,0.017643,0.92421,1.730482,4.9406911043794315,1.2351727760948579,SumEuler
5,0.300342,0.27323,0.016251,0.909752,1.730482,5.761704989645138,1.1523409979290276,SumEuler
6,0.270328,0.25117,0.015846,0.929145,1.730482,6.401416057530112,1.0669026762550187,SumEuler
7,0.260181,0.247925,0.008358,0.952912,1.730482,6.651069832155308,0.950152833165044,SumEuler
8,0.250243,0.241107,0.005895,0.963509,1.730482,6.915206419360382,0.8644008024200478,SumEuler
