cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,0.9203,0.786828,0.131099,0.854976,0.900522,0.9785091817885473,0.9785091817885473,Minimax
2,0.470433,0.397451,0.069193,0.844873,0.900522,1.9142407101542622,0.9571203550771311,Minimax
3,0.340289,0.27571,0.061345,0.810239,0.900522,2.6463447246311222,0.8821149082103741,Minimax
4,0.2904,0.229024,0.052846,0.788667,0.900522,3.1009710743801655,0.7752427685950414,Minimax
5,0.27033,0.203335,0.056824,0.752192,0.900522,3.331195205859505,0.666239041171901,Minimax
6,0.270183,0.20629,0.057953,0.763534,0.900522,3.333007628163134,0.5555012713605223,Minimax
7,0.260236,0.198911,0.051284,0.764363,0.900522,3.4604051706912187,0.4943435958130312,Minimax
8,0.2503,0.190988,0.052524,0.763053,0.900522,3.5977706751897722,0.44972133439872153,Minimax
