cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,0.760231,0.756295,0.002371,0.994827,0.740487,0.9740289464649561,0.9740289464649561,Coins
2,0.390269,0.385535,0.003025,0.987885,0.740487,1.8973759125116267,0.9486879562558134,Coins
3,0.200306,0.195391,0.003046,0.975504,0.740487,3.696778928239793,1.2322596427465977,Coins
4,0.130311,0.116841,0.003268,0.896666,0.740487,5.682459654211847,1.4206149135529618,Coins
5,0.120315,0.113198,0.003329,0.940883,0.740487,6.154569255703778,1.2309138511407556,Coins
6,0.120413,0.106285,0.003356,0.88271,0.740487,6.149560263426706,1.0249267105711177,Coins
7,0.120223,0.108678,0.006239,0.904014,0.740487,6.1592790065128975,0.8798970009304139,Coins
8,0.120188,0.108789,0.003363,0.905207,0.740487,6.1610726528438775,0.7701340816054847,Coins
