cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,0.940463,0.722716,0.207991,0.768475,0.950507,1.0106798459907513,1.0106798459907513,TreeSum
2,0.480426,0.375761,0.099838,0.782153,0.950507,1.9784670271800442,0.9892335135900221,TreeSum
3,0.300298,0.213281,0.085383,0.710242,0.950507,3.1652125555281754,1.0550708518427252,TreeSum
4,0.250366,0.159107,0.08878,0.635514,0.950507,3.796469967966897,0.9491174919917242,TreeSum
5,0.24022,0.144273,0.086248,0.600608,0.950507,3.956818749479644,0.7913637498959287,TreeSum
6,0.230308,0.147842,0.079698,0.641955,0.950507,4.127112388627403,0.6878520647712337,TreeSum
7,0.230206,0.142025,0.0835,0.616966,0.950507,4.12894103542045,0.5898487193457785,TreeSum
8,0.22026,0.13649,0.078752,0.619697,0.950507,4.315386361572687,0.5394232951965858,TreeSum
