cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,0.530281,0.524573,0.002015,0.989243,0.52036,0.9812910513482476,0.9812910513482476,Tak
2,0.280325,0.273839,0.002551,0.976885,0.52036,1.856273967716044,0.928136983858022,Tak
3,0.180267,0.168655,0.002736,0.935612,0.52036,2.886607088374467,0.962202362791489,Tak
4,0.140247,0.127641,0.002989,0.910151,0.52036,3.710311093998446,0.9275777734996115,Tak
5,0.130333,0.122812,0.002838,0.942334,0.52036,3.992542180414784,0.7985084360829567,Tak
6,0.110313,0.096889,0.002706,0.87835,0.52036,4.71712309519277,0.7861871825321284,Tak
7,0.11025,0.095836,0.003202,0.86931,0.52036,4.719818594104309,0.6742597991577585,Tak
7,0.11025,0.09821,0.002621,0.890833,0.52036,4.719818594104309,0.6742597991577585,Tak
8,0.100247,0.091232,0.00241,0.910108,0.52036,5.1907787764222375,0.6488473470527797,Tak
