cores,total,mut,gc,productivity,speedup,ideal,bench
1,0.010325,0.001282,0.000125,0.124343,0.9983535108958836,0.9983535108958836,Parfact
2,0.010353,0.000881,0.000137,0.085233,0.9956534337873081,0.49782671689365404,Parfact
3,0.010308,0.000741,0.000142,0.072036,1.0,0.3333333333333333,Parfact
4,0.010265,0.00059,0.000147,0.05766,1.0041889917194349,0.2510472479298587,Parfact
5,0.010259,0.000466,0.00016,0.045534,1.0047762939857685,0.2009552587971537,Parfact
6,0.0103,0.000764,0.000189,0.07433,1.0007766990291262,0.16679611650485437,Parfact
7,0.010249,0.000717,0.000181,0.070165,1.0057566591862621,0.1436795227408946,Parfact
7,0.010249,0.000553,0.000176,0.054206,1.0057566591862621,0.1436795227408946,Parfact
8,0.01024,0.000567,0.000191,0.055589,1.006640625,0.125830078125,Parfact
