ret,cycles,bench,type,cores,time,speedup,ideal
19,179996245,Tak,par,1,1.7646690686274509,1.0035029452975532,1.0035029452975532
19,90309701,Tak,par,2,0.885389225490196,2.0000814973354855,1.0000407486677427
19,45349569,Tak,par,4,0.4446036176470588,3.982987401710477,0.9957468504276192
19,30295345,Tak,par,6,0.2970131862745098,5.962195248147859,0.9936992080246432
19,22939035,Tak,par,8,0.2248925,7.874209268175405,0.9842761585219256
19,11827070,Tak,par,16,0.11595166666666666,15.272316981297989,0.9545198113311243
19,8345023,Tak,par,24,0.08181395098039215,21.644848911740567,0.901868704655857
