cores,total,mut,gc,productivity,speedup,ideal,bench
1,0.010258,0.001525,0.000134,0.148964,1.0061415480600508,1.0061415480600508,Parfact
2,0.010367,0.000956,0.000155,0.092575,0.9955628436384683,0.4977814218192341,Parfact
3,0.01038,0.001109,0.000167,0.107276,0.9943159922928709,0.3314386640976236,Parfact
4,0.010333,0.00099,0.0002,0.096238,0.9988386722152328,0.2497096680538082,Parfact
5,0.010323,0.000873,0.000221,0.085302,0.9998062578707739,0.19996125157415479,Parfact
6,0.010324,0.000963,0.00021,0.093634,0.9997094149554436,0.16661823582590726,Parfact
6,0.010324,0.00088,0.000219,0.085841,0.9997094149554436,0.16661823582590726,Parfact
7,0.010283,0.000686,0.000237,0.067037,1.003695419624623,0.1433850599463747,Parfact
8,0.010292,0.000641,0.000243,0.062734,1.002817722502915,0.12535221531286436,Parfact
