ret,cycles,bench,type,cores,time,speedup,ideal
42,142861570,TreeSum,par,1,1.4006036274509803,0.8827363859993979,0.8827363859993979
42,71463865,TreeSum,par,2,0.7006261274509804,1.7646555500461667,0.8823277750230833
42,35732086,TreeSum,par,4,0.350314568627451,3.5292959386697995,0.8823239846674499
42,24007700,TreeSum,par,6,0.23536960784313726,5.252860790496382,0.8754767984160637
42,17866641,TreeSum,par,8,0.17516314705882352,7.058355624876551,0.8822944531095689
42,8933870,TreeSum,par,16,0.08758696078431373,14.115842966150169,0.8822401853843855
42,6142204,TreeSum,par,24,0.0602176862745098,20.531572380207496,0.8554821825086457
