cores,bench,cycles,total,speedup,ideal
1,Fib,6555220.0,0.0655522,1.00,1.00
2,Fib,3351525.0,0.03351525,1.96,0.98
4,Fib,1678783.0,0.01678783,3.90,0.98
6,Fib,1122648.0,0.01122648,5.84,0.97
8,Fib,843198.0,0.00843198,7.77,0.97
16,Fib,425798.0,0.00425798,15.40,0.96
24,Fib,286390.0,0.0028639,22.89,0.95
