ret,cycles,bench,type,cores,time,speedup,ideal
16383,647557727,Mss,par,1,6.348605166666666,0.6682615340022033,0.6682615340022033
16383,254011303,Mss,par,2,2.490306892156863,1.703616787478154,0.851808393739077
16383,115102774,Mss,par,4,1.128458568627451,3.7595785484718207,0.9398946371179552
16383,74448586,Mss,par,6,0.7298880980392157,5.812574062857285,0.9687623438095475
16383,55081132,Mss,par,8,0.5400110980392157,7.85637303169441,0.9820466289618013
16383,27274665,Mss,par,16,0.26739867647058824,15.86592979235492,0.9916206120221825
16383,18225005,Mss,par,24,0.17867651960784314,23.744186627109293,0.9893411094628872
