ret,cycles,bench,type,cores,time,speedup,ideal
2680,84153724,Queens,par,1,0.8250365098039215,0.9921737747458449,0.9921737747458449
2680,42148125,Queens,par,2,0.4132169117647059,1.9809924640775836,0.9904962320387918
2680,22930856,Queens,par,4,0.2248123137254902,3.641168825097502,0.9102922062743755
2680,14597801,Queens,par,6,0.14311569607843136,5.719705180252834,0.9532841967088057
2680,10630619,Queens,par,8,0.10422175490196078,7.854210371004736,0.981776296375592
2680,5449971,Queens,par,16,0.05343108823529412,15.320286658406072,0.9575179161503795
2680,3749191,Queens,par,24,0.03675677450980392,22.27016921783926,0.9279237174099692
